"emp_id";"fname";"lname";"location";"phone1";"phone2";"sex";"email";"password"
2;"Menna";"Mohamed";"new Cairo";"01216545645";"";"F";"Menna@gmail.com";"123"
4;"qqq";"Doe";"London";"0123456789";"";"M";"john.doe@gmail.com";"456"
5;"eee";"Mohamed";"New Cairo";"01065216622";"";"M";"zidan@gmail.com";"123"
6;"UPDATEEEEEEE";"KhaledUPDATE";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"123"
7;"eee";"Mohamed";"New Cairo";"01065216622";"";"M";"zidan@gmail.com";"123"
8;"qqq";"Doe";"London";"0123456789";"";"M";"john.doe@gmail.com";"456"
9;"Mahmoud";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"123"
10;"Mahmoud";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"1233"
11;"Mahmoud";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"1111"
12;"Mahmoud";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"11"
13;"flask";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"22"
14;"SSSS";"Khaled";"Cairo";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"123"
15;"Mahmoud";"Khaled";"XXXXX";"+201065216442";"";"M";"mahmoudkhaledwork07@gmail.com";"123"
